NSW,SW
akhirnye,akhirnya
ambik,ambil
awakk,awak
bagus lah,baguslah
bahagia lah,bahagialah
Bangaggg,bangang
bangangg,bangang
bekeja,bekerja
belajaq,belajar
bgus,bagus
bhagia,bahagia
bhgiaaa,bahagia
brapa,berapa
brcakap,bercakap
bukak,buka
cepat lah,cepatlah
cikit,sikit
cilaka,celaka
crita,cari
dya,dia
dye,dia
gelenya  ,gelinya
gtal,gatal
kan,akan
kawin,kahwin
kdai,kedai
ketengah,ke tengah
kje,kerja
kokorikulum,kokurikulum
kt,ke
lawakkk,lawak
lawakkkk,lawak
memamg,memang
memghampiri,menghampiri
memngigati,mengingati
olang,orang
ooohhhh,oh
opis,ofis
patut lah,patutlah
pom,pun
pon,pun
sarkis,sarkas
stadment,kenyataan
terrrrbaikkk,terbaik
